Operation,Module_A,Module_B,Header,From
Primary,graph,property_map,boost/property_map/function_property_map.hpp,boost/graph/adjacency_matrix.hpp boost/graph/astar_search.hpp
Primary,graph,property_map,boost/property_map/property_map.hpp,boost/graph/adjacency_list.hpp boost/graph/adjacency_matrix.hpp boost/graph/astar_search.hpp boost/graph/bc_clustering.hpp boost/graph/betweenness_centrality.hpp boost/graph/biconnected_components.hpp boost/graph/boykov_kolmogorov_max_flow.hpp boost/graph/buffer_concepts.hpp boost/graph/chrobak_payne_drawing.hpp boost/graph/circle_layout.hpp boost/graph/compressed_sparse_row_graph.hpp boost/graph/copy.hpp boost/graph/create_condensation_graph.hpp boost/graph/cycle_canceling.hpp boost/graph/detail/adjacency_list.hpp boost/graph/detail/compressed_sparse_row_struct.hpp boost/graph/detail/d_ary_heap.hpp boost/graph/detail/indexed_properties.hpp boost/graph/detail/self_avoiding_walk.hpp boost/graph/detail/sparse_ordering.hpp boost/graph/dijkstra_shortest_paths.hpp boost/graph/edmonds_karp_max_flow.hpp boost/graph/floyd_warshall_shortest.hpp boost/graph/graph_archetypes.hpp boost/graph/graph_as_tree.hpp boost/graph/graph_concepts.hpp boost/graph/graphviz.hpp boost/graph/grid_graph.hpp boost/graph/hawick_circuits.hpp boost/graph/howard_cycle_ratio.hpp boost/graph/is_kuratowski_subgraph.hpp boost/graph/is_straight_line_drawing.hpp boost/graph/johnson_all_pairs_shortest.hpp boost/graph/kruskal_min_spanning_tree.hpp boost/graph/labeled_graph.hpp boost/graph/make_biconnected_planar.hpp boost/graph/make_connected.hpp boost/graph/make_maximal_planar.hpp boost/graph/max_cardinality_matching.hpp boost/graph/maximum_weighted_matching.hpp boost/graph/minimum_degree_ordering.hpp boost/graph/named_function_params.hpp boost/graph/one_bit_color_map.hpp boost/graph/page_rank.hpp boost/graph/planar_canonical_ordering.hpp boost/graph/planar_detail/add_edge_visitors.hpp boost/graph/planar_detail/boyer_myrvold_impl.hpp boost/graph/planar_detail/bucket_sort.hpp boost/graph/properties.hpp boost/graph/property_maps/constant_property_map.hpp boost/graph/property_maps/container_property_map.hpp boost/graph/property_maps/null_property_map.hpp boost/graph/r_c_shortest_paths.hpp boost/graph/random_spanning_tree.hpp boost/graph/relax.hpp boost/graph/sequential_vertex_coloring.hpp boost/graph/sloan_ordering.hpp boost/graph/stanford_graph.hpp boost/graph/stoer_wagner_min_cut.hpp boost/graph/successive_shortest_path_nonnegative_weights.hpp boost/graph/topological_sort.hpp boost/graph/two_bit_color_map.hpp boost/graph/vector_as_graph.hpp boost/graph/visitors.hpp boost/pending/bucket_sorter.hpp boost/pending/fibonacci_heap.hpp boost/pending/indirect_cmp.hpp boost/pending/mutable_queue.hpp boost/pending/relaxed_heap.hpp
Primary,graph,property_map,boost/property_map/property_map_iterator.hpp,boost/graph/property_iter_range.hpp
Primary,graph,property_map,boost/property_map/shared_array_property_map.hpp,boost/graph/johnson_all_pairs_shortest.hpp boost/graph/mcgregor_common_subgraphs.hpp boost/graph/named_function_params.hpp
Primary,graph,property_map,boost/property_map/transform_value_property_map.hpp,boost/graph/adjacency_matrix.hpp boost/graph/compressed_sparse_row_graph.hpp boost/graph/directed_graph.hpp boost/graph/undirected_graph.hpp
Primary,graph,property_map,boost/property_map/vector_property_map.hpp,boost/graph/astar_search.hpp boost/graph/dijkstra_shortest_paths.hpp
Primary,graph,property_tree,boost/property_tree/detail/xml_parser_utils.hpp,boost/graph/graphml.hpp
Primary,graph,property_tree,boost/property_tree/ptree.hpp,libs/graph/src/graphml.cpp
Primary,graph,property_tree,boost/property_tree/xml_parser.hpp,libs/graph/src/graphml.cpp
Primary,graph,random,boost/random/geometric_distribution.hpp,boost/graph/erdos_renyi_generator.hpp
Primary,graph,random,boost/random/linear_congruential.hpp,boost/graph/gursoy_atun_layout.hpp boost/graph/topology.hpp
